(478, 11606)
(478, 15880)
(478, 19026)
(479, 11605)
(7385, 16337)
(12703, 10718)
(12704, 10717)
(12705, 1109)
(12705, 3284)
(12705, 10716)
(12706, 3283)
(12706, 10715)
(14090, 2524)
(14090, 15980)
(14091, 2525)
(14091, 15979)
(14092, 15978)
(14093, 15977)
(14621, 9447)
(14622, 9448)
(14622, 11423)
(14623, 11422)
(14624, 11421)
(14625, 11420)
(18145, 18535)
(18146, 18536)
(18146, 19551)
(19206, 5309)
(19206, 6643)
(19206, 11284)
(19207, 5310)
(19208, 5311)
(20069, 14061)
(20070, 14062)
(20070, 18802)
(20071, 18801)
(21927, 5623)
(21927, 7410)
(21928, 5624)
(22049, 5228)
(22049, 16367)
(22050, 5229)
(22050, 16368)
(22051, 16369)
(22052, 16370)
(23939, 17244)
(23940, 15409)
(23940, 17245)
(23940, 19933)
(25228, 8093)
(25228, 12869)
(26607, 11947)
(35537, 16927)
(35538, 16926)
(35539, 16925)
(35540, 4475)
(35540, 16924)
(35540, 17977)
(39980, 14062)
(39980, 18802)
(39981, 18801)
(47353, 14720)
(47354, 14719)
(48536, 4847)
(48537, 4848)
(48538, 4849)
(48538, 5324)
(48564, 18854)
(48565, 1690)
(48565, 12180)
(48565, 18855)
(53200, 1796)
(53200, 10566)
(53201, 1797)
(53201, 10567)
(53201, 19160)
(53202, 19159)
(53458, 4475)
(53458, 16924)
(53458, 17977)
(53847, 11008)
(53848, 11009)
(55400, 11606)
(55400, 15880)
(55400, 19026)
(60552, 5208)
(60552, 5696)
(60553, 5207)
(60554, 5206)
(61277, 16925)
(61278, 4475)
(61278, 16924)
(61278, 17977)
(61279, 4476)
(61279, 17978)
(62145, 3081)
(62146, 3082)
(63594, 19161)
(63595, 1797)
(63595, 10567)
(63595, 19160)
(63596, 10568)
(64085, 3857)
(64086, 3856)
(71534, 5208)
(71534, 5696)
(71535, 5207)
(73723, 13938)
(73724, 13939)
(78966, 4782)
(81900, 15409)
(81900, 17245)
(81900, 19933)
(81901, 17246)
(84266, 5905)
(84266, 6553)
(84267, 5906)
(91043, 7705)
(91044, 7704)
(94306, 8092)
(94306, 12870)
(94307, 8093)
(94307, 12869)
(94308, 8094)
(95910, 10109)
(95911, 6488)
(95911, 10108)
(95911, 14550)
(95912, 6487)
(95912, 10107)
(95912, 14549)
(100193, 272)
(100193, 1058)
(100193, 13290)
(100194, 13289)
(103548, 12438)
(103549, 12437)
(103550, 12436)
(103551, 119)
(103551, 12435)
(105608, 6645)
(105609, 6644)
(105610, 5309)
(105610, 6643)
(105610, 11284)
(108892, 272)
(108892, 1058)
(108892, 13290)
(110008, 14320)
(110008, 15496)
(110403, 5225)
(110404, 5226)
(110405, 5227)
(110406, 5228)
(110406, 16367)
(110407, 5229)
(110407, 16368)
(110756, 1109)
(110756, 3284)
(110756, 10716)
(110757, 3283)
(110757, 10715)
